모집 시작일,프로젝트 명,모집 마감일,프로젝트 분야,우선 순위,예상 금액,예상 기간,지원자 수,관련 기술
2026.3.12,Decision Support Web 프로그램 개발,2026.3.26,웹,"산출물 완성도, 일정 준수, 금액",5000000,30,2,
2026.3.12,신규 기업 로고 및 명함 디자인,2026.3.26,기타,산출물 완성도,1000000,5,3,"Adobe Photoshop,Figma,Illustrator"
2026.3.12,UGC 플랫폼 및 서비스 소개 홈페이지 구축,2026.3.26,웹 · 안드로이드 · iOS,"금액, 산출물 완성도, 일정 준수",30000000,60,15,
2026.3.12,팝업스토어 이벤트용 부루마블 웹 게임 개발,2026.3.25,웹,"산출물 완성도, 금액, 일정 준수",3000000,14,8,
2026.3.12,임산부 맞춤형 약물 복용 가이드 MVP 앱 구축,2026.3.20,안드로이드 · iOS,"산출물 완성도, 일정 준수, 금액",30000000,90,6,"React Native,Flutter,Python,Android,Node.js"
2026.3.12,vmCube 솔루션 유지보수 및 앱 고도화,2026.3.13,안드로이드 · iOS,"산출물 완성도, 일정 준수, 금액",30100000,210,1,
2026.3.12,Lua 스크립트 기반 UGC 개발 툴 테스트를 위한 액션 게임 개발,2026.3.26,안드로이드,,3000000,30,2,Lua
2026.3.12,C++ 기반 Windows 프로그램 기본 앱 설정 UI 호출 기능 개발,2026.3.20,PC 프로그램,,500000,2,1,
2026.3.12,모바일 차량관리 리워드 플랫폼 UI/UX 디자인 리뉴얼,2026.3.26,안드로이드 · iOS,"산출물 완성도, 일정 준수, 금액",2000000,15,1,
2026.3.11,코골이 완화 ANC 이어폰 하드웨어 시제품 개발,2026.3.25,임베디드,,10000000,30,1,
2026.3.11,기업 홈페이지 리뉴얼 신규 구축,2026.3.25,웹,"일정 준수, 산출물 완성도, 금액",5000000,30,1,
2026.3.11,OpenStack-Helm 기반 클라우드 네트워크 장애 해결 자문(24회),2026.3.25,기타,"업무 능력, 근무 시작일, 예산 범위",0,90,1,
2026.3.11,은행 연계 금 신탁상품 관리 시스템 구축,2026.3.25,웹,"산출물 완성도, 금액, 일정 준수",50000000,120,35,
2026.3.11,복합다중센서 IoT 화재감지기 및 게이트웨이 시제품 개발,2026.3.14,PC 프로그램 · 임베디드 · 기타,"산출물 완성도, 일정 준수, 금액",50000000,100,1,
2026.3.11,AI 기반 자동 영상 편집 툴 플랫폼 구축,2026.3.12,웹,,30000000,90,10,
2026.3.11,AI 기반 반려동물 SNS 및 GPS 실종 알림 앱 기능 고도화,2026.3.22,안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",45000000,150,17,
2026.3.11,B2B 제조 기업 홈페이지 구축,2026.3.25,웹,,8000000,60,40,
2026.3.11,다수 분산 시스템 DB 구조 진단 및 튜닝 프로젝트(대구 상주 필수),2026.3.20,웹 · 기타,,0,14,3,
2026.3.11,B2B IT 솔루션 기업 워드프레스 사이트 리뉴얼,2026.3.25,웹,"산출물 완성도, 금액, 일정 준수",5000000,45,19,
2026.3.11,부동산 SaaS 플랫폼 고도화 및 연간 유지보수,2026.3.25,웹 · 안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",60000000,365,22,"dynamodb,Python,Nginx"
2026.3.11,가상화폐 거래소 수수료 환급 비교 플랫폼 구축,2026.3.25,웹,"산출물 완성도, 일정 준수, 금액",25000000,90,38,
2026.3.11,다지점 관리 및 실시간 화상 상담 플랫폼 구축,2026.3.25,웹 · 안드로이드 · iOS · PC 프로그램 · 기타,"산출물 완성도, 금액, 일정 준수",100000000,180,14,"react.js,Node.js,AWS (Amazon Web Services),mysql / postgresql,Electron,Rest api,WebRTC,socket.io-client,Vue.js,React Native / Flutter"
2026.3.11,쿠팡 파트너스를 활용한 실시간 주문 내역 매칭 백엔드 개발,2026.3.24,웹 · 안드로이드 · iOS · 기타,"일정 준수, 산출물 완성도, 금액",10000000,15,16,"Node.js,PostgreSQL,Redis,Nestjs,AWS"
