모집 시작일,프로젝트 명,모집 마감일,직군,레벨,경력,예상 금액,월 금액,예상 기간,구인 유형,구인 배경,프로젝트 산업 분야,근무 지역,근무 시간
2026.3.12,Websquare 기반 캐피탈 시스템 개발,2026.3.26,모바일 앱 개발자,시니어,4~10년 차,79083333.33333333333333333335,6500000,365,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 영등포구 여의도,오전 9시 ~ 오후 6시
2026.3.12,Java/Spring 기반 사내 시스템 백엔드 개발,2026.3.26,백엔드 개발자,미드 레벨,4~7년 차,30000000.00000000000000000001,5000000,180,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 영등포구 에이스하이테크시티,오전 9시 ~ 오후 6시
2026.3.12,NestJS 기반 해운비지니스 eCommerce 시스템 백엔드 개발,2026.3.26,백엔드 개발자,시니어,5~20년 차,45000000,7500000,180,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,"서울특별시 서초구 강남대로 465, 교보생명빌딩 B동 24층",오전 9시 ~ 오후 6시
2026.3.12,Next.js 기반 해운비즈니스 eCommerce 프론트엔드 개발,2026.3.26,프론트엔드 개발자,시니어,5~20년 차,45000000,7500000,180,사내 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,"서울특별시 서초구 강남대로 465, 교보생명빌딩 B동 24층",오전 9시 ~ 오후 6시
2026.3.12,플랫폼 UI/UX 화면 설계 및 시스템 로직 기획,2026.3.26,서비스 기획자,시니어,7~15년 차,13000000.00000000000000000000,6500000,60,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 금천구 가산디지털2로 173 에이스비즈포레 619호,오전 9시 ~ 오후 6시
2026.3.12,AI 기반 CRM 상담 웹 서비스 기획,2026.3.26,서비스 기획자,미드 레벨,3~7년 차,12900000.00000000000000000000,4300000,90,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,서비스업,서울특별시 영등포구 여의도 오투타워,오전 10시 ~ 오후 7시
2026.3.12,Web 기반 AI 법률 상담서비스 풀스택 개발,2026.3.26,풀스택 개발자,주니어,1~3년 차,6000000,3000000,60,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,,인천광역시 부평구 한라비발디 오피스텔,오전 9시 ~ 오후 6시
2026.3.12,AI 기반 상담 및 CRM 통합 서비스 UI/UX 디자인,2026.3.26,UI/UX 디자이너,미드 레벨,4~5년 차,7399999.999999999999999999998,3700000,60,사내 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 영등포구 여의도 오투타워,오전 10시 ~ 오후 7시
2026.3.11,SIEM 기반 로그 분석 및 침해사고 보안 엔지니어,2026.3.25,클라우드 보안 엔지니어,시니어,10년 차 이상,62999999.99999999999999999999,7000000,270,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,경기도 성남시 분당구 정자동,오전 9시 ~ 오후 6시
2026.3.11,Spring 기반 쇼핑몰 CAFE24 API 연동 백엔드 개발,2026.3.25,백엔드 개발자,미드 레벨,5~7년 차,11000000.00000000000000000000,5500000,60,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,판매•유통업,서울특별시 성동구 아차산로 17,오전 10시 ~ 오후 7시
2026.3.11,Swift 기반 EV 충전 서비스 통합 CPO B2C iOS 앱 개발,2026.3.25,iOS 개발자,미드 레벨,4~7년 차,30000000.00000000000000000001,5000000,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 종로구 율곡로 75 현대사옥,오전 9시 ~ 오후 6시
2026.3.11,공공기관 프로젝트 사업 기획 (재택근무 조율 가능) ,2026.3.25,서비스 기획자,시니어,8~10년 차,5499999.999999999999999999999,5500000,30,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,"경기도 용인시 수지구 포은대로59번길37, 시그니처광교1차 610호",오전 9시 ~ 오후 6시
2026.3.11,Spring 기반 SaaS 솔루션 연동 백엔드 개발,2026.3.25,백엔드 개발자,미드 레벨,4~7년 차,24000000,6000000,120,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 강남구 봉은사역 근처,오전 9시 ~ 오후 6시
2026.3.11,D2C 대형가전 플랫폼 서비스 기획자(주문클레임 파트),2026.3.25,서비스 기획자,미드 레벨,3~15년 차,0,0,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,,서울특별시 영등포구 여의도 트윈타워,오전 9시 ~ 오후 6시
2026.3.11,AI/LLM 연계 문항 추출/생성 엔진 개발,2026.3.25,백엔드 개발자,미드 레벨,4~7년 차,55999999.99999999999999999999,7000000,240,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,교육업,서울특별시 서초구 남부순환로 2547(서초동 1354-3),오전 9시 ~ 오후 6시
2026.3.11,React/MSSQL 기반 웹 개발,2026.3.25,풀스택 개발자,테크 리드,11년 차 이상,24000000.00000000000000000000,8000000,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,경상남도 창원시 성산구 정동로 162번길 40,오전 8시 ~ 오후 5시
2026.3.11,Vue.js 기반 증권 홈페이지 퍼블리싱,2026.3.25,퍼블리셔,미드 레벨,4~9년 차,15000000.00000000000000000000,5000000,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,금융•은행업,서울특별시 마포구,오전 9시 ~ 오후 6시
2026.3.11,건강관리 앱 Spring Boot 백엔드 개발,2026.3.24,백엔드 개발자,미드 레벨,8~10년 차,36000000,6000000,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,결원이 발생하여 작업자를 구인하고 있습니다.,의료•제약업,서울특별시 종로구 대학로57,오전 9시 ~ 오후 6시
2026.3.10,멀티모달 비전 AI·OCR 파이프라인 개발  (재택근무 협의),2026.3.24,AI/ML/Data 엔지니어,시니어,경력 무관,6999999.999999999999999999999,7000000,30,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 강남구 교대역오피스,주 40시간 탄력근무(자율 출퇴근)
2026.3.10,React/Java 프런트엔드 개발(Lead),2026.3.24,프론트엔드 개발자,미드 레벨,6~9년 차,32999999.99999999999999999999,5500000,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,의료•제약업,서울특별시 종로구 대학로 57,오전 9시 ~ 오후 6시
2026.3.10,Flutter 기반 헬스케어 앱 개발(재택 협의 가능),2026.3.24,모바일 앱 개발자,미드 레벨,5~10년 차,30000000.00000000000000000000,10000000,90,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,의료•제약업,서울특별시 강남구 양재역 근처 도보 5분 거리,오전 9시 ~ 오후 6시
2026.3.10,Kotlin기반 Android 치료기기 연동 앱 개발,2026.3.24,모바일 앱 개발자,시니어,3~5년 차,9000000,4500000,60,사내 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 구로구 디지털로30길 28 609호,오전 9시 ~ 오후 6시
2026.3.10,ERP 기반 유통업체 시스템 기획 PL,2026.3.24,UI/UX 기획자,시니어,8~10년 차,24000000,6000000,120,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,판매•유통업,서울특별시 강남구 논현동,오전 9시 ~ 오후 6시
2026.3.10,Laravel/Inertia.js 기반 쇼핑몰 풀스택 개발,2026.3.24,풀스택 개발자,미드 레벨,3~5년 차,23999999.99999999999999999999,4000000,180,사내 프로젝트에 필요한 인력을 구인합니다.,결원이 발생하여 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 마포구 성암로 330 DMC첨단산업센터 801호,오전 9시 ~ 오후 6시
